Palestrante;Minibio
Andrea Gonçalves Pinto;Formada em Letras-Português e Inglês pela Universidade de São Paulo, atuo no mercado de serviços linguísticos há mais de 25 anos, desde 1994. Trabalhei em diferentes empresas, de multinacionais a agências locais, e sempre estive envolvida em atividades de gerenciamento de projetos, controle de qualidade e tradução/revisão. Hoje, sou sócia-diretora da Transmaster Traduções, uma LSP baseada em São Paulo. Entre as áreas em que atuamos estão: TI/tecnologia em geral, marketing corporativo, telecomunicações, turismo, varejo e e-learning. Faço parte também da Diretoria da BLISS (Brazilian Language Industry Association), a primeira associação de empresas do setor de serviços linguísticos a ser criada no Brasil.
;
André Gabeh;André Gabeh é escritor com cinco livros lançados, três adultos e dois para o público infantil. Tem dois álbuns musicais autorais. É ilustrador e professor de técnica vocal. Trabalha como Roteirista do Programa VAI QUE COLA. Já foi Colunista do Jornal O Dia e atualmente está em turnê com a cantora Áurea Martins no espetáculo Senhora das Folhas.
;
Andréia Manfrin Alves;Tem graduação em Letras pela Universidade de São Paulo (2006) e mestrado em Didática do Ensino do Francês e de Línguas - Université Sorbonne Nouvelle - Paris 3 (2010). Atualmente é doutoranda em tradução de literatura infantojuvenil no programa de Literatura e Crítica Literária da Universidade Católica de São Paulo - PUC/SP. Na área profissional, é tradutora, intérprete, professora de tradução editorial e professora de português da Interpret2B. Tem experiência na área de Letras, com ênfase em Línguas Estrangeiras Modernas, atuando principalmente nos seguintes temas: tradução editorial, tradução de literatura infantojuvenil, tradução audiovisual, interpretação consecutiva, interpretação simultânea, ensino de tradução.
;
Andréia Souza;Tradutora e Pós-editora na Korn Traduções, especializada no par EN<>PT em Economia e Finanças. Bacharela em Letras - Tradutor/Intérprete pela UNIBERO e Pós-graduada em Tradução pela Universidade Estácio, é entusiasta de ferramentas, tendências e formas de trabalho que potencializem a atuação do linguista moderno.
;
André Ribeiro;André Ribeiro é especialista em LinkedIn, tradutor, palestrante, mentor e empreendedor. Acumula 14 anos de carreira como tradutor profissional em centros de aprendizagem de TI e agências de tradução de São Paulo. Desde 2016, atua como microempresário, atendendo clientes de tradução nas Américas, Europa e Ásia nos idiomas português, espanhol e inglês. André também é mentor de empresários, profissionais liberais e autônomos, abordando temas como LinkedIn, produtividade e empreendedorismo. É apaixonado por livros de marketing, inovação, criatividade e finanças e encontra equilíbrio na música, na meditação, nos esportes e nos momentos em família.
;
Andressa Furlan Ferreira;Doutoranda em Linguística Aplicada pela Universidade Estadual de Campinas e bolsista da CAPES. Atua na linha de pesquisa Linguagens, Transculturalidade e Tradução, sob a orientação da Profa. Dra. Érica Lima. É integrante do grupo de pesquisa “E por falar em tradução” (Unicamp/USP-CNPq). Tem graduação em Letras Inglês pela Universidade de Brasília e mestrado em Ciências das Religiões pela Universidade Federal da Paraíba. Já participou do curso de inverno de língua e cultura alemã (DAAD-Winterkurs) na Universidade de Colônia (Alemanha). Seus temas de pesquisa envolvem tradução, folclore, artes e história.
;
