Origem;Título;Palestrante;Free;Tradução;Interpretação;Revisão;Ferramentas;Geral;Língua;Cuidados;Redes Sociais;Dublagem;Legendagem;Literária;Jogos;Jurídica;Médica;Técnica;Cursos;Links
S04E25;Tradução em Direitos Humanos: oportunidades e desafios;Mariana Almeida;;x;x;;;;x;;;;;;;;;;;https://translators101.com.br/video/traducao-direitos-humanos/
S04E26;O jeito que a gente diz: em busca da naturalidade;Stella Tagnin;;x;;;x;x;x;;;;;;;;;x;;https://translators101.com.br/video/s04e26-stella-tagnin/
S04E27;Quem está certo? A eterna batalha entre revisão e tradução;Fabiana Zardo;;x;;x;;x;;;;;;;;;;x;;https://translators101.com.br/video/s04e27-fabiana-zardo/
S04E28;Vivendo da tradução em Portugal;Raissa Duboc;;x;;;;x;;;;;x;;;;;;;https://translators101.com.br/video/s04e28-raissa-duboc-2/
S04E29;Como aprimorar sua carreira na tradução com o voluntariado;Catherine Christaki e Karen Tkaczyk;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/voluntariado-na-traducao/
S04E30;A legendagem na publicidade: particularidades e novas tendências;Dafne Baddini;;x;;;x;;;;;;x;;;;;;;https://translators101.com.br/video/s04e30-dafne-baddini/
S04E31;De intérprete infantil oficial da família a intérprete profissional!;Katia Georges Chedraoui;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s04e31-katia-georges-chedraoui/
S04E32;Legendagem: Descomplicando a Sincronia no Subtitle Edit;Matheus Maggi;;x;;;x;;;;;;x;;;;;;;https://translators101.com.br/video/s04e32-matheus-maggi/
S04E33;Gestão Financeira: Planejamento, administração e gestão do dinheiro;Rodrigo Anunciato;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/gestao-financeira-freelancer/
S04E34;EULA: usando a internet a nosso favor;Fernanda Vitarelli;;x;;;;;;;;;;;x;x;;;;https://translators101.com.br/video/s04e34-fernanda-vitarelli/
S04E35;Translation and Interpreting in the USA;David Rumsey;;x;x;;;;;;;;;;;;;;;https://translators101.com.br/video/traducao-interpretacao-usa/
S04E36;Preparação de texto, que bicho é esse?;Laura Folgueira;;x;;;;x;x;;;;;x;;;;;;https://translators101.com.br/video/s04e36-laura-folgueira/
S04E37;Como simplificar seu inglês na tradução técnica;Rômulo Faria;;x;;;x;;;;;;;;;;;x;;https://translators101.com.br/video/traducao-tecnica-ingles/
S04E38;Falando de tradução para localização (apps, softwares, sites);Samira Spolidorio;;x;;;;x;x;;;;;;x;;;;;https://translators101.com.br/video/s04e38-samira-spolidorio/
S04E39;Linguagem neutra: a aplicação e seus desafios;Giovana Bomentre;;x;;;;x;x;;;;;x;;;;;;https://translators101.com.br/video/linguagem-neutra-a-aplicacao-e-seus-desafios-s04e39/
S04E40;Jornalismo e tradução: tão íntimos e tão estranhos;Patrícia Franco;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/jornalismo-e-traducao-tao-intimos-e-tao-estranhos-s04e40/
S04E41;Filhos e Carreira: lições e dicas de tradutores e intérpretes;Luciane Camargo;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s04e41-luciane-camargo/
