Origem;Título;Palestrante;Free;Tradução;Interpretação;Revisão;Ferramentas;Geral;Língua;Cuidados;Redes Sociais;Dublagem;Legendagem;Literária;Jogos;Jurídica;Médica;Técnica;Cursos;Links
1ª PAL. DE 2021;Tradução de musicais;Victor Mühlethaler;;x;;;;;;;;x;;;;;;;;https://translators101.com.br/video/traducao-musicais-victor/
CULT-Estácio;Tradução de textos da área médica: uma receita de sucesso;Ana Julia Perrotti;x;x;;;;;;;;;;;;;x;;;https://translators101.com.br/video/traducao-textos-medicos-cult/
CULT-Estácio;Como se especializar em tradução audiovisual;César Alarcón;x;x;;;;;;;;x;x;;;;;;;https://translators101.com.br/video/traducao-audiovisual-cesar-alarcon/
CULT-Estácio;Localização em marketing: mais do que apenas criatividade;Juliana Lima;x;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/localizacao-marketing-juliana-lima/
CULT-Estácio;A importância da especialização na tradução da área médica;Luciana Bonancio;x;x;;;;;;;;;;;;;x;;;https://translators101.com.br/video/especializacao-traducao-medica/
Curso SDL Studio;Parte 1;BabelDGT;;x;;;;;;;;;;;;;;;x;https://translators101.com.br/video/curso-oficial-de-sdl-studio/
Curso SDL Studio;Parte 2;BabelDGT;;x;;;;;;;;;;;;;;;x;https://translators101.com.br/video/curso-oficial-de-sdl-studio-parte-2/
Curso SDL Studio;Intermediário;BabelDGT;;x;;;;;;;;;;;;;;;x;https://translators101.com.br/video/curso-de-sdl-studio-intermediario/
Dica;Pausa;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/pausa-renata-cassemiro/
Dica;Celular;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/celular-renata-cassemiro/
Dica;Monitor;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/monitor-renata-cassemiro/
Dica;Alongamento;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/alongamento-renata-cassemiro/
Especial;Precisamos falar sobre investimentos;Isabela Fontanella;x;x;x;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/investimentos-para-tradutores/
Especial;Como planejar uma boa aposentadoria;Isabela Fontanella;x;;;;;;;;;;;;;;;;x;https://translators101.com.br/video/planejar-aposentadoria-tradutor/
Especial finanças;Organizando sua vida financeira;Isabela Fontanella;x;x;x;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/organizar-vida-financeira-tradutor/
Especial ITD 2020;Marketing pessoal e negociação para tradutores;André Ribeiro;;x;x;;x;x;;;;;;;;;;;;https://translators101.com.br/video/especial-itd-2020-marketing-pessoal-e-negociac%cc%a7a%cc%83o-para-tradutores/
Especial ITD 2020;T101 explica WordFast;Daniel Estill;x;x;;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/especial-itd-2020-t101-explica-wordfast/
Especial ITD 2020;Mais organização e produtividade? Tecnologia é a resposta!;Fernanda Rocha;;x;x;;x;x;;;;;;;;;;;;https://translators101.com.br/video/especial-itd-2020-mais-organizac%cc%a7a%cc%83o-e-produtividade_-tecnologia-e-a-resposta/
Especial ITD 2020;Lançamento do PED4TI;Gilson Mattos;x;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/como-nasce-um-dicionario-ped4ti/
Especial ITD 2020;O mundo não te odeia;Kelly Elizeu;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/especial-itd-2020-kelly-elizeu/
Especial ITD 2020;Tradução científica: trajetória, especialização e peculiaridades;Laurieny e Marina;;x;;;;x;x;;;;;;;;;;;https://translators101.com.br/video/traducao-cientifica-especial-itd-2020/
Especial ITD 2020;T101 explica XBench;Mitsue Siqueira;x;x;;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/o-que-e-xbench/
Especial ITD 2020;O tradutor para dublagem, o texto traduzido e o estúdio;Paulo Noriega;;x;;;;;;;;x;;;;;;;;https://translators101.com.br/video/o-tradutor-para-dublagem-o-texto-traduzido-e-o-estudio-especial-itd-2020/
Especial ITD 2020;T101 explica SDL Studio;SDL - Babel;x;x;;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/o-que-e-sdl-studio/
Especial ITD 2020;T101 explica memoQ;Val Ivonica;x;x;;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/o-que-e-memoq/
Especial ITD 2023;Como traduzir sem perder tempo com pesquisas;Ascanio Roquette;x;;;;x;;;;;;;;;;;;;https://translators101.com.br/video/especial-itd-2023-ascanio-roquette/
Especial ITD 2023;Golpes: é possível se prevenir?;Francine Oliveira;x;;;;;x;;;;;;;;;;;;https://translators101.com.br/video/golpes-e-possivel-se-prevenir-especial-itd-2023/
Especial ITD 2023;Tradução X Versão Brasileira: diferenças e importância do seu texto no dia a dia dos profissionais de dublagem;Leo Pinheiro;x;;;;;;;;;x;;;;;;;;https://translators101.com.br/video/traducao-x-versao-brasileira-especial-itd-2023/
Especial ITD 2023;Técnicas de pesquisa para tradutores;Raphael Corrêa;x;;;;x;;;;;;;;;;;;;https://translators101.com.br/video/tecnicas-de-pesquisa-para-tradutores-especial-itd-2023/
EXCLUSIVO;A tradução de musicais;Mariana Elisabetsky;;x;;;;;;;;x;;;;;;;;
EXCLUSIVO;Provas de certificação da Abrates;Ricardo Souza;;x;;;;x;;;;;;;;;;;;
i2B;O que leva a uma carreira bem-sucedida na tradução?;William Cassemiro;x;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/carreira-em-traducao/
IOGA;Cuidados com face, ombros, braços, mãos e cadeira;Mariana Paz;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/cuidados-com-face-ombros-bracos-e-maos-cadeira-ioga/
LBM Week;LEGENDAGEM EM INGLÊS: ESTUDO DE CASO DE OLHAR DE CÃO;Guilherme Gama;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/lbm-week-guilherme-gama/
LBM Week;TAV+ PÓS: ESTUDO DE CASO DE FRONTEIRAS DO PENSAMENTO;Ivan M. Franco;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/lbm-week-ivan-m-franco/
LBM Week;LBM ACADEMY: A ESCOLA DAS RATARIAS DA TRADUÇÃO AUDIOVISUAL;Ligia Fragano Sobral;;x;;;;;;;;x;x;;;;;;;https://translators101.com.br/video/lbm-week-ligia-sobral-fragano/
LBM Week;LEGENDAGEM: ESTUDO DE  CASO DE “AS GOLPISTAS”;Paula Barreto;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/lbm-week-paula-barreto/
LBM Week;PEQUENAS EMPRESAS DE TAV, GRANDES NEGÓCIOS;Tatiana Sobral;;x;;;;;;;;x;x;;;;;;;https://translators101.com.br/video/lbm-week-tatiana-sobral/
Live sobre normas;Normas ISO/NBR para Tradução e Interpretação: e agora?;Lívia Cais e Ricardo Souza;;x;x;;x;x;;;;;;;;;;;;https://translators101.com.br/video/live-normas-isonbr-para-traducao-e-interpretacao-e-agora/
Maratona;Os melhores clientes esperam por você no LinkedIn;André Ribeiro;x;x;x;;;x;;;x;;;;;;;;;https://translators101.com.br/video/linkedin-para-tradutores/
Maratona;Negociação avançada — Palestra atualizada;André Ribeiro;x;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/negociacao-para-tradutores/
Maratona;"Congresso não é só palestra; tenha uma mente empresária — Comportamentos, atitudes e estratégias em eventos profissionais";André Ribeiro;x;x;x;;;x;;;x;;;;;;;;;https://translators101.com.br/video/congresso-para-tradutores/
Maratona;Transcriação (tradução criativa) — O que os clientes realmente querem do tradutor;André Ribeiro;x;x;;;;x;x;;;;;;;;;;;https://translators101.com.br/video/o-que-e-transcriacao/
Meditação;Aula de meditação;Sofia Pulici;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/meditacao-sofia-pulici/
Mesa-redonda;A tradução literária hoje: desafios de entrada, permanência e viabilidade;Guilherme, Ivar, Lenita, Paulo, Petê e Regiane;x;;;;;;;;;;;;;;;;;https://translators101.com.br/video/mesa-redonda-itd-2023/
Movimentos conscientes;Prática de movimentos conscientes;Sofia Pulici;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/movimentos-conscientes-sofia-pulici/
Oficina;Oficina de tradução de HQs;Carol Pimentel;;x;;;;;x;;;;;;;;;;x;https://translators101.com.br/video/oficina-de-traducao-de-hqs-oficina/
Oficina;Tradução e edição de literatura especulativa: estudo de casos;Giovana Bomentre;;x;;;;x;x;;;;;x;;;;;;https://translators101.com.br/video/oficina-traduc%cc%a7a%cc%83o-e-edic%cc%a7a%cc%83o-de-literatura-especulativa-gi-bomentre/
Oficina;Oficina de tradução de jogos de tabuleiro;Ivar Jr. e Luciana Boldorini;;;;;;;;;;;;;;;;;;
Oficina;PDI – Plano de Desenvolvimento Individual - Parte 1;Patrícia Loreto e Luciana Bonancio;;x;x;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/oficina-pdi-parte-1/
Oficina;PDI – Plano de Desenvolvimento Individual - Parte 2;Patrícia Loreto e Luciana Bonancio;;x;x;;x;x;;;;;;;;;;;x;https://translators101.com.br/video/oficina-pdi-parte-2/
Oficina;Aula prática de tradução/localização de texto de turismo e viagem;Sofia Pulici;;x;x;;;;;;;;;;;;;;;https://translators101.com.br/video/aula-pratica-sofia-pulici/
Oficina;Quanto vale meu trabalho?;William Cassemiro;x;x;x;;x;x;;;;;;;;;;;;https://translators101.com.br/video/como-cobrar-uma-traducao/
Oficina de SE;Oficina de SE (Parte 1);Laila Compan;;;;;;;;;;;;;;;;;;
Oficina de SE;Oficina de SE (Parte 2);Laila Compan;;;;;;;;;;;;;;;;;;
OFICINAS;LinkedIn (parte 1);Karine Souto;;x;x;;;x;;;x;;;;;;;;x;https://translators101.com.br/video/oficina-de-linkedin-karine-souto-parte-1/
OFICINAS;LinkedIn (parte 2);Karine Souto;;x;x;;;x;;;x;;;;;;;;x;https://translators101.com.br/video/oficina-de-linkedin-karine-souto-parte-2/
PUC-Rio e Translators101;Mesa da interpretação;Denise de Vasconcelos Araujo, Anna Vianna e Livia Cais;;;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/mesa-sobre-interpretacao/
PUC-Rio e Translators102;Mesa da tradução;Luiza Ferreira, Ana Beatriz e Rebeca Bolite ;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/mesa-sobre-traducao/
Respiração consciente;Prática de respiração consciente;Sofia Pulici;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/respiracao-consciente-sofia-pulici/
S01E01;Tradução de histórias em quadrinhos e o mercado mainstream no Brasil;Carol Pimentel;;x;;;;;;;;;;;;;;;;https://translators101.com.br/video/s01e01-palestra-carol-pimentel/
S01E01;Treine como um atleta: dicas para o tradutor autodidata;Isa Mara Lando;;x;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s01e01-treine-como-um-atleta_-dicas-para-o-tradutor-autodidata-isa-mara-lando/
S01E01;Small step or giant leap?;Ulisses Wehby de Carvalho;;;x;;;;;;;;;;;;;;;https://translators101.com.br/video/s01e01-ulisses-wehby-de-carvalho/
S01E01;Abertura do primeiro evento da Translators101;William Cassemiro;;;;;;;;;;;;;;;;;;https://translators101.com.br/video/abertura-do-primeiro-evento-da-translators101-s01e01/
S01E02;No tempo da tradução a lenha;Lenita Pisetta;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s01e02-paula-ianelli/
S01E02;A naturalidade e o tradutor do futuro;Paula Ianelli;;x;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s01e02-lenita-esteves/
S01E02;A tradução da animação (Des)encanto: muitos aprendizados (e um pouco de rebeldia);Paulo Noriega;;x;;;;;;;;x;;;;;;;;https://translators101.com.br/video/s01e02-paulo-noriega/
S02E01;Dos livros lidos aos livros traduzidos;Carolina Caires Coelho e Petê Rissatti;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s02e01-carol-coelho-e-pete%cc%82-rissatti/
S02E01;Primeiros passos na tradução literária;Cláudia Mello Belhassof;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s02e01-claudia-belhassof/
S02E02;Aposte no visual!;Carolina Walliter;;x;x;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s02e02-aposte-no-visual-carolina-walliter/
S02E02;She-ra e as Princesas do Poder;Deborah Cornélio;;x;;;;;;;;x;x;;;;;;;https://translators101.com.br/video/s02e02-she-ra-e-as-princesas-do-poder-deborah-cornelio/
S02E02;Postura profissional de um tradutor;Laila Compan;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s02e02-postura-profissional-de-um-tradutor-laila-compan/
S02E03;A Tradução para a dublagem brasileira;Dilma Machado;;x;;;;;;;;x;;;;;;;;https://translators101.com.br/video/s02e03-a-traduc%cc%a7a%cc%83o-para-a-dublagem-brasileira-dilma-machado/
S02E03;Cinco tipos diferentes de tradução;Eneide Moreira;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s02e03-cinco-tipos-diferentes-de-traduc%cc%a7a%cc%83o-eneide-moreira/
S02E03;Assim diz a legenda;Luiz Fernando Alves;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/s02e03-diz-a-legenda-luiz-fernando-alves/
S02E04;Tradução para dublagem de cinema;Bianca da Costa;;x;;;;;;;;x;;;;;;;;https://translators101.com.br/video/s02e04-traduc%cc%a7a%cc%83o-para-dublagem-de-cinema-bianca-da-costa/
S02E04;Treine como um atleta 2: mais dicas para o tradutor autodidata;Isa Mara Lando;;x;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s02e04-treine-como-um-atleta-2-isa-mara-lando/
S02E04;Singularidades da tradução de idiomas raros;Robson Ortlibas;;x;;;;x;;;;;x;;;;;;;https://translators101.com.br/video/s02e04-singularidades-da-traduc%cc%a7a%cc%83o-de-idiomas-raros-robson-ortlibas/
S02E05;Desvendando o Proz;Fernanda Rocha;;x;x;;x;;;;x;;;;;;;;;https://translators101.com.br/video/s02e05-desvendando-o-proz-com-fernanda-rocha/
S02E06;Interpretação: a vida real;Adriana Machado;;;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s02e06-interpretac%cc%a7a%cc%83o_-a-vida-real-adriana-machado/
S02E06;Transcreation 101;Ana Carolina Ribeiro;;x;;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s02e06-transcreation-101-ana-ribeiro-olson/
S02E06;Abordagem a agências pelo LinkedIn;André Ribeiro;;x;x;;;x;;;x;;;;;;;;;https://translators101.com.br/video/s02e06-abordagem-a-age%cc%82ncias-pelo-linkedin-andre-ribeiro/
S02E06;As escolhas do gerente de projetos;Bruno Fontes;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s02e06-as-escolhas-do-gerente-de-projetos-bruno-fontes/
S02E06;Desafios e percalços de tradutores iniciantes nas agências de tradução;Mitsue Siqueira;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s02e06-desafios-e-percalc%cc%a7os-de-tradutores-iniciantes-nas-age%cc%82ncias-de-traduc%cc%a7a%cc%83o-mitsue-siqueira/
S03E01;A culinária em legendas;Carolina Selvatici;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/s03e01-a-culinaria-em-legendas-carolina-selvatici/
S03E03;Entendendo a tributação;Luidg Quitete;x;x;x;;x;x;;;;;;;;;;;;https://translators101.com.br/video/contabilidade-para-tradutores/
S03E04;Autogestão para tradutores;Mariana Gualano;;;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s03e04-autogesta%cc%83o-para-tradutores-mariana-gualano/
S03E05;A linguagem LGBTQIA+ na tradução para dublagem;Marum Reis;;x;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s03e05-a-linguagem-lgbtqia-na-traduc%cc%a7a%cc%83o-para-dublagem-marun-reis/
S03E06;Regex for dummies: como começar a usar expressões regulares;Reginaldo Francisco;;x;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s03e06-regex-for-dummies_-como-comec%cc%a7ar-a-usar-expresso%cc%83es-regulares-reginaldo-francisco/
S03E07;Interpretação no Oscar;Anna Vianna;;;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s03e07-interpretac%cc%a7a%cc%83o-no-oscar-anna-vianna/
S03E08;Tradutores formados, informados e desenformados. Nossos muitos caminhos;Daniel Estill;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/tradutores-formados-informados-e-desenformados-nossos-muitos-caminhos-s03e08/
S03E09;Falsos cognatos e decalques na tradução médica inglês>português;Juliana Samel;;x;x;;;;x;;;;;;;;x;;;https://translators101.com.br/video/s03e09-falsos-cognatos-e-decalques-na-traduc%cc%a7a%cc%83o-medica-ingle%cc%82s_portugue%cc%82s-juliana-samel/
S03E10;Tradução de games? É muito simples! #sqn;Val Ivonica;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/s03e10-traduc%cc%a7a%cc%83o-de-games_-e-muito-simples-sqn-val-ivonica/
S03E11;Os desafios da interpretação nos eventos esportivos;Rosita Belinky;;;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s03e11-rosita-belinky/
S03E12;CAT Tools e Machine Translations: discutindo a relação;Jorge Davidson;;x;;;x;x;;;;;;;;;;x;;https://translators101.com.br/video/s03e12-jorge-davidson/
S03E13;Experiência com tradução jurídica do gênero contrato;Alessandra e Carlos Harmel;;x;x;;;;;;;;;;;x;;;;https://translators101.com.br/video/s03e13-alessandra-e-carlos-eduardo-harmel/
S03E14;O tradutor nômade digital;Carmen Reis;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s03e14-carmen-reis/
S03E15;Tradutor como empreendedor: da criação de marca ao relacionamento com o cliente;Caroline Alberoni;;x;;;;x;;;x;;;;;;;;;https://translators101.com.br/video/tradutor-como-empreendedor-da-criacao-de-marca-ao-relacionamento-com-o-cliente-s03e15/
S03E16;Tempos verbais e suas especificidades nas versões de artigos científicos para o inglês;Gilson Mattos;;x;;;;x;x;;;;;;;;x;;;https://translators101.com.br/video/tempos-verbais-e-suas-especificidades-nas-versoes-de-artigos-cientificos-para-o-ingles-s03e16/
S03E17;Como usar ferramentas de corpus para dar mais naturalidade ao seu texto;Daniel Erlich;;x;;;x;x;x;;;;;;;;;x;;https://translators101.com.br/video/s03e17-como-usar-ferramentas-de-corpus-para-dar-mais-naturalidade-ao-seu-texto-daniel-erlich/
S03E18;Tradução de videogames: o ponto de vista do tradutor;Michel Teixeira;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/traducao-de-videogames-o-ponto-de-vista-do-tradutor-s03e18/
S03E19;SDL Studio: primeiros passos;Cristiane Tribst;;x;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s03e19-cristiane-tribst/
S03E20;10 anos traduzindo de tudo. Minha carreira na VICE Brasil;Marina Schnoor;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/10-anos-traduzindo-de-tudo-minha-carreira-na-vice-brasil-s03e20/
S03E21;Como conciliar as carreiras de tradutor e intérprete;Marsel de Souza;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/como-conciliar-as-carreiras-de-tradutor-e-interprete-s03e21/
S03E22;Como traduzir a Terra-média;Reinaldo José Lopes;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s03e22-reinaldo-jose-lopes/
S03E23;Amigos, amigos, trabalhos à parte: o trabalho com colegas contratantes;Daniele Fonseca;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s03e23-daniele-fonseca/
S03E24;AMA (Ask me anything) sobre localização de jogos!;Paula Ianelli;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/s03e24-ama-ask-me-anything-sobre-localizac%cc%a7a%cc%83o-de-jogos-paula-ianelli/
S03E25;Profissão tradutor/intérprete de Libras - trajetórias e formação;Paloma Bueno;;x;x;;;;;;;;;;;;;;;https://translators101.com.br/video/s03e25-profissa%cc%83o-tradutor_interprete-de-libras-trajetorias-e-formac%cc%a7a%cc%83o-paloma-bueno/
S03E26;Ask me anything sobre legendagem;Leilane Papa;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/s03e26-ask-me-anything-sobre-legendagem-leilane-papa/
S03E27;Traduzindo para a cena;Cláudia Cruz;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/traduzindo-para-a-cena-s03e27/
S03E28;Cobrança e negociação para tradutores;Simone Resende;;x;x;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s03e28-simone-resende/
S03E29;Tradução de literatura infantil e infanto-juvenil: un plus a mais;Andréia Manfrin Alves;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s03e29-traduc%cc%a7a%cc%83o-de-literatura-infantil-e-infanto-juvenil_-un-plus-a-mais-andreia-manfrin/
S03E30;Tradução no esporte ou esporte na tradução?;Ulisses de Carvalho e Jayme Pinto;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s03e30-traduc%cc%a7a%cc%83o-no-esporte-ou-esporte-na-traduc%cc%a7a%cc%83o_-ulisses-carvalho-e-jayme-costa/
S03E31;What the heck! A internacionalização da Dona Hermínia;Ligia Fragano Sobral;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/s03e31-what-the-heck-a-internacionalizac%cc%a7a%cc%83o-da-dona-herminia-ligia-sobral-fragano/
S03E32;Audiodescrição rima com tradução de muitas maneiras além da sonoridade;Ana Julia Perrotti;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/audiodescricao-e-traducao/
S03E33;Traduzindo jogos de tabuleiro;Juliana Gallo;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/s03e33-juliana-gallo/
S03E34;O fantástico mundo da pesquisa clínica;Kelly Elizeu;;x;x;;;;;;;;;;;;x;;;https://translators101.com.br/video/s03e34-kelly-elizeu/
S03E35;Que tal aprender como fazer seu próprio glossário?;Ciça Lopes;;x;x;;x;;x;;;;;;;;;;;https://translators101.com.br/video/s03e35-que-tal-aprender-como-fazer-seu-proprio-glossario_-cic%cc%a7a-lopes/
S03E36;Notas: muito além dos símbolos;Érika Lessa;;;x;;x;x;x;;;;;;;;;;;https://translators101.com.br/video/tecnicas-de-note-taking/
S03E37;Localização de jogos de tabuleiro;Luciana Boldorini e Ivar Jr.;;x;;;;x;;;;;;;x;;;;;https://translators101.com.br/video/localizacao-de-jogos-de-tabuleiro-s03e37/
S03E38;Tradução automática na tradução técnica: testamos uma abordagem;Carolina Bisson;;x;;;x;x;;;;;;;;;;x;;https://translators101.com.br/video/s03e38-traduc%cc%a7a%cc%83o-automatica-na-traduc%cc%a7a%cc%83o-tecnica_-testamos-uma-abordagem-carolina-bisson/
